model;year;transmission;mileage;fuelType;tax;mpg;engineSize;class
 A3;2010;Manual;107304;Diesel;125;57.6;2.0;A
 A3;2009;Manual;92000;Petrol;200;40.9;1.6;A
 A4;2008;Manual;146604;Diesel;160;51.4;2.0;A
 A3;2008;Manual;119000;Petrol;260;37.7;2.0;A
 A3;2008;Manual;93000;Petrol;160;43.5;1.4;A
 A8;1997;Automatic;122000;Petrol;265;18.9;4.2;A
 A3;2004;Automatic;28477;Petrol;305;36.2;1.6;A
 A3;2011;Manual;106122;Diesel;30;64.2;2.0;A
 A3;2012;Manual;104822;Diesel;20;68.9;1.6;A
 A3;2010;Manual;94000;Petrol;200;40.9;1.6;A
 A4;2005;Manual;87990;Diesel;325;36.7;3.0;A
 S3;2003;Manual;106000;Petrol;325;39.8;1.8;A
 A3;2009;Semi-Auto;99200;Diesel;155;52.3;2.0;A
 TT;2007;Manual;102000;Petrol;145;56.5;2.0;A
 A3;1998;Automatic;55000;Petrol;265;30.4;1.8;A
 TT;2007;Manual;85509;Petrol;300;36.2;2.0;A
 A3;2009;Manual;63241;Petrol;200;41.5;1.6;A
 A3;2011;Manual;87000;Diesel;30;64.2;2.0;A
 A3;2009;Manual;68470;Petrol;150;48.7;1.4;A
 A3;2009;Manual;63899;Petrol;200;40.9;1.6;A
 A4;2008;Automatic;89000;Diesel;330;33.3;3.0;A
 A3;2012;Manual;85000;Petrol;205;40.9;1.6;A
 A3;2010;Manual;106000;Diesel;30;64.2;2.0;A
 A3;2010;Manual;64800;Petrol;200;40.9;1.6;A
 A5;2009;Manual;108000;Petrol;160;42.8;2.0;A
 A4;2007;Manual;89000;Diesel;220;43.4;2.0;A
 TT;2008;Automatic;82000;Petrol;260;36.7;2.0;A
 A3;2014;Manual;87000;Diesel;0;74.3;1.6;A
 A8;2006;Automatic;104000;Diesel;325;33.6;3.0;A
 A6;2010;Manual;109000;Diesel;160;49.6;2.0;A
 A5;2010;Automatic;90000;Petrol;235;39.8;2.0;A
 TT;2008;Automatic;91000;Petrol;280;36.2;2.0;A
 S4;2005;Automatic;62000;Petrol;330;22.4;4.2;A
 A3;2011;Manual;85246;Diesel;30;65.7;1.6;A
 A1;2014;Manual;78000;Diesel;0;74.3;1.6;A
 A1;2012;Manual;80000;Diesel;0;74.3;1.6;A
 A5;2010;Manual;95000;Petrol;200;43.5;2.0;A
 A3;2009;Manual;82000;Petrol;235;39.2;2.0;A
 A4;2009;Manual;112000;Diesel;145;55.4;2.0;A
 TT;2009;Manual;77000;Petrol;300;36.2;2.0;A
 TT;2007;Automatic;93392;Petrol;565;29.7;3.2;A
 A3;2012;Manual;46000;Petrol;205;40.9;1.6;A
 A4;2011;Manual;90000;Diesel;30;61.4;2.0;A
 S4;2007;Manual;101000;Petrol;555;20.3;4.2;A
 TT;2009;Manual;83967;Petrol;300;36.2;2.0;A
 A4;2013;Manual;129680;Diesel;30;64.2;2.0;A
 Q5;2011;Manual;168017;Diesel;200;42.1;2.0;A
 A3;2010;Manual;46000;Diesel;135;55.4;2.0;A
 A1;2011;Manual;107000;Petrol;125;53.3;1.4;A
 A1;2013;Manual;80814;Diesel;0;74.3;1.6;A
 A3;2010;Automatic;56155;Diesel;160;52.3;2.0;A
 A3;2012;Manual;73994;Diesel;30;65.7;1.6;A
 A4;2008;Manual;98000;Diesel;160;50.4;2.0;A
 A3;2010;Manual;65000;Diesel;145;53.3;2.0;A
 A1;2011;Manual;45000;Diesel;0;70.6;1.6;A
 A3;2013;Manual;75000;Diesel;20;68.9;1.6;A
 A3;2010;Manual;50000;Petrol;145;48.7;1.4;A
 A1;2013;Manual;65000;Diesel;0;74.3;1.6;A
 A1;2014;Manual;80000;Diesel;20;68.9;2.0;A
 A1;2013;Manual;69000;Diesel;0;74.3;1.6;A
 TT;2003;Automatic;43000;Petrol;325;28.8;3.2;A
 TT;2011;Manual;100000;Diesel;145;53.3;2.0;A
 A6;2011;Automatic;94700;Diesel;235;44.1;2.7;A
 A3;2011;Manual;74000;Diesel;20;68.9;1.6;A
 A4;2013;Manual;126580;Diesel;30;62.8;2.0;A
 A1;2013;Manual;75000;Diesel;0;74.3;1.6;A
 A3;2012;Manual;55000;Diesel;30;64.2;2.0;A
 A3;2012;Manual;48000;Diesel;20;68.9;1.6;A
 A5;2009;Manual;73848;Petrol;235;39.8;1.8;A
 A1;2012;Manual;64446;Diesel;0;74.3;1.6;A
 A1;2012;Manual;65794;Diesel;0;74.3;1.6;A
 A3;2015;Manual;128000;Diesel;20;68.9;2.0;A
 A3;2015;Manual;128000;Diesel;20;68.9;2.0;A
 A3;2015;Manual;123000;Diesel;0;83.1;1.6;A
 A3;2015;Manual;130000;Diesel;0;74.3;1.6;A
 A3;2015;Manual;123000;Diesel;0;83.1;1.6;A
 A1;2014;Manual;72677;Diesel;0;74.3;1.6;A
 A1;2013;Manual;62023;Diesel;0;74.3;1.6;A
 A3;2011;Manual;70000;Diesel;30;64.2;2.0;A
 A6;2010;Manual;89000;Diesel;150;48.7;2.0;A
 A4;2011;Manual;103000;Diesel;165;50.4;2.0;A
 A3;2012;Manual;88394;Diesel;125;60.1;2.0;A
 A1;2014;Manual;90000;Diesel;0;74.3;1.6;A
 TT;2010;Manual;90804;Diesel;150;53.3;2.0;A
 A1;2012;Manual;56472;Diesel;20;68.9;2.0;A
 S4;2004;Automatic;88024;Petrol;325;22.4;4.2;A
 A3;2015;Manual;84000;Diesel;20;68.9;2.0;A
 A4;2013;Automatic;89000;Diesel;125;58.9;2.0;A
 A4;2012;Automatic;87000;Petrol;145;47.1;2.0;A
 A3;2015;Manual;79000;Diesel;20;70.6;1.6;A
 TT;2010;Manual;49879;Petrol;265;36.7;2.0;A
 A6;2010;Manual;79960;Diesel;160;49.6;2.0;A
 A5;2010;Manual;84900;Petrol;200;39.8;1.8;A
 A5;2008;Semi-Auto;75700;Diesel;235;42.2;2.7;A
 A1;2011;Manual;65000;Petrol;125;53.3;1.4;A
 A3;2013;Manual;60000;Diesel;20;68.9;1.6;A
 A3;2010;Semi-Auto;68493;Petrol;125;51.4;1.4;A
 A4;2011;Manual;88000;Diesel;30;61.4;2.0;A
 A4;2011;Manual;95000;Diesel;145;53.3;2.0;A
 A3;2013;Manual;89831;Diesel;0;74.3;1.6;A
 A3;2012;Manual;82293;Diesel;30;64.2;2.0;A
 A1;2012;Manual;75187;Petrol;125;53.3;1.4;A
 A6;2010;Manual;75000;Diesel;160;49.6;2.0;A
 A1;2013;Manual;90000;Diesel;0;74.3;1.6;A
 A1;2013;Manual;76269;Diesel;0;74.3;1.6;A
 A3;2013;Manual;49525;Diesel;20;68.9;1.6;A
 A3;2015;Manual;112380;Diesel;0;74.3;1.6;A
 A1;2012;Manual;46942;Diesel;0;74.3;1.6;A
 A3;2012;Manual;49000;Petrol;145;47.1;1.6;A
 A1;2012;Manual;65627;Diesel;0;74.3;1.6;A
 A4;2014;Manual;124460;Diesel;145;55.4;2.0;A
 A1;2013;Manual;54766;Petrol;125;53.3;1.4;A
 A3;2015;Manual;108950;Diesel;20;68.9;2.0;A
 A3;2016;Manual;111700;Diesel;20;68.9;2.0;A
 A3;2015;Manual;104460;Diesel;0;83.1;1.6;A
 A1;2014;Manual;98520;Diesel;20;68.9;2.0;A
 A3;2013;Manual;59447;Diesel;0;74.3;1.6;A
 A4;2010;Manual;80000;Diesel;150;53.3;2.0;A
 A3;2011;Manual;38264;Diesel;30;64.2;2.0;A
 A1;2012;Manual;70000;Diesel;0;74.3;1.6;A
 A1;2014;Manual;70000;Diesel;0;74.3;1.6;A
 A1;2015;Manual;37000;Diesel;0;80.7;1.6;A
 A3;2014;Manual;44000;Diesel;0;74.3;1.6;A
 A1;2013;Manual;49547;Diesel;0;74.3;1.6;A
 A3;2014;Manual;107000;Diesel;20;67.3;2.0;A
 A4;2013;Semi-Auto;87909;Diesel;125;58.9;2.0;A
 Q5;2011;Manual;139989;Petrol;300;33.6;2.0;A
 A5;2010;Manual;120000;Diesel;165;49.6;2.0;A
 A1;2011;Manual;60700;Petrol;125;53.3;1.4;A
 A3;2014;Manual;81000;Diesel;0;74.3;1.6;A
 A5;2011;Manual;104800;Diesel;160;49.6;2.0;A
 A3;2016;Manual;103040;Diesel;20;68.9;2.0;A
 A3;2015;Manual;101300;Diesel;20;68.9;2.0;A
 A6;2012;Manual;100230;Diesel;150;56.5;2.0;A
 A3;2016;Manual;116310;Diesel;0;83.1;1.6;A
 A6;2013;Manual;96840;Diesel;125;57.6;2.0;A
 A4;2015;Automatic;128080;Diesel;145;56.5;2.0;A
 A4;2012;Manual;94366;Diesel;30;64.2;2.0;A
 A1;2012;Manual;63565;Diesel;0;74.3;1.6;A
 A1;2013;Manual;81012;Diesel;20;68.9;2.0;A
 A3;2014;Manual;50416;Diesel;0;74.3;1.6;A
 A1;2013;Manual;42580;Petrol;125;53.3;1.4;A
 A1;2012;Manual;19200;Petrol;30;55.4;1.2;A
 A1;2013;Manual;60000;Petrol;30;55.4;1.2;A
 A3;2014;Manual;77430;Diesel;0;74.3;1.6;A
 Q3;2012;Manual;113500;Diesel;145;54.3;2.0;A
 A3;2014;Manual;81008;Diesel;20;68.9;2.0;A
 A3;2013;Manual;60028;Diesel;0;74.3;1.6;A
 A1;2013;Manual;72120;Petrol;125;52.3;1.4;A
 A1;2012;Manual;43133;Diesel;0;74.3;1.6;A
 A1;2013;Manual;62331;Petrol;125;52.3;1.4;A
 A1;2013;Manual;76361;Petrol;125;52.3;1.4;A
 A3;2016;Manual;122000;Diesel;0;74.3;1.6;A
 A3;2016;Manual;122000;Diesel;0;74.3;1.6;A
 A3;2015;Manual;101000;Diesel;0;74.3;1.6;A
 A3;2015;Manual;108000;Diesel;20;68.9;2.0;A
 A1;2013;Manual;35138;Petrol;125;53.3;1.4;A
 A1;2013;Manual;56123;Diesel;0;74.3;1.6;A
 A1;2014;Manual;55000;Petrol;125;53.3;1.4;A
 TT;2007;Manual;50750;Petrol;555;27.4;3.2;A
 TT;2007;Manual;63000;Petrol;555;27.2;3.2;A
 A3;2014;Manual;72591;Diesel;0;74.3;1.6;A
 A1;2014;Manual;70796;Petrol;30;55.4;1.2;A
 A1;2015;Manual;83390;Diesel;0;80.7;1.6;A
 A3;2014;Semi-Auto;88130;Diesel;30;64.2;2.0;A
 A1;2013;Manual;67409;Diesel;0;74.3;1.6;A
 A1;2014;Manual;53291;Diesel;0;74.3;1.6;A
 A1;2014;Manual;47000;Diesel;0;74.3;1.6;A
 TT;2012;Manual;75000;Diesel;145;53.3;2.0;A
 Q5;2009;Manual;88639;Diesel;235;42.1;2.0;A
 A4;2013;Automatic;81000;Diesel;125;58.9;2.0;A
 A4;2012;Manual;88000;Diesel;30;62.8;2.0;A
 A1;2015;Manual;31000;Diesel;0;80.7;1.6;A
 TT;2010;Manual;91450;Diesel;145;53.3;2.0;A
 A6;2012;Automatic;103160;Diesel;145;55.4;2.0;A
 A4;2006;Automatic;74000;Petrol;570;22.8;4.2;A
 A4;2009;Automatic;93000;Petrol;325;30.7;3.2;A
 A3;2011;Manual;57750;Diesel;30;65.7;1.6;A
 A3;2015;Manual;73643;Petrol;30;56.5;1.2;A
 A3;2013;Manual;79000;Petrol;30;57.6;1.2;A
 A1;2015;Manual;92760;Diesel;0;80.7;1.6;A
 A3;2015;Manual;91567;Diesel;20;70.6;1.6;A
 A3;2016;Manual;96300;Diesel;20;68.9;2.0;A
 A1;2015;Manual;67830;Diesel;0;80.7;1.6;A
 A4;2012;Manual;84535;Diesel;30;61.4;2.0;A
 A3;2014;Manual;65604;Diesel;0;74.3;1.6;A
 A3;2013;Manual;37141;Diesel;0;74.3;1.6;A
 A3;2015;Manual;100000;Diesel;20;68.9;2.0;A
 A3;2015;Manual;68446;Diesel;0;74.3;1.6;A
 A1;2015;Manual;77288;Diesel;0;74.3;1.6;A
 A3;2014;Manual;86092;Diesel;0;74.3;1.6;A
 A3;2015;Manual;87661;Diesel;20;70.6;1.6;A
 A1;2012;Manual;56700;Diesel;20;68.9;2.0;A
 A1;2014;Manual;60000;Petrol;125;52.3;1.4;A
 A3;2014;Manual;81457;Diesel;0;74.3;1.6;A
 A1;2012;Manual;25000;Diesel;0;74.3;1.6;A
 A1;2014;Manual;68037;Petrol;125;53.3;1.4;A
 A3;2014;Manual;79283;Diesel;20;68.9;2.0;A
 A4;2013;Semi-Auto;86999;Diesel;125;57.6;2.0;A
 A4;2013;Manual;68600;Petrol;205;43.5;1.8;A
 A1;2016;Manual;88340;Diesel;0;76.3;1.6;A
 A1;2014;Manual;51451;Petrol;125;52.3;1.4;A
 A1;2012;Manual;76975;Diesel;20;68.9;2.0;A
 A3;2015;Manual;91334;Diesel;0;83.1;1.6;A
 A3;2013;Manual;51535;Diesel;20;68.9;1.6;A
 A3;2016;Manual;88215;Diesel;20;68.9;2.0;A
 A3;2013;Manual;98940;Diesel;0;74.3;1.6;A
 A1;2013;Manual;57465;Diesel;0;74.3;1.6;A
 A4;2013;Manual;63360;Diesel;30;64.2;2.0;A
 A1;2015;Manual;54000;Diesel;0;80.7;1.6;A
 A3;2015;Automatic;74369;Diesel;30;62.8;2.0;A
 A5;2011;Manual;85000;Diesel;200;48.7;2.0;A
 A1;2013;Manual;23954;Petrol;125;53.3;1.4;A
 A1;2013;Manual;29899;Petrol;125;53.3;1.4;A
 A6;2013;Manual;83297;Diesel;145;56.5;2.0;A
 A1;2014;Manual;41083;Diesel;0;74.3;1.6;A
 A3;2014;Manual;55210;Diesel;0;74.3;1.6;A
 A6;2010;Manual;42000;Diesel;160;49.6;2.0;A
 A4;2013;Manual;72900;Diesel;30;64.2;2.0;A
 A3;2007;Manual;73000;Petrol;325;31.0;2.0;A
 A4;2013;Manual;84000;Diesel;30;64.2;2.0;A
 A1;2013;Manual;56884;Petrol;125;52.3;1.4;A
 A3;2016;Manual;95856;Diesel;0;83.1;1.6;A
 A3;2013;Manual;59305;Diesel;20;67.3;2.0;A
 A1;2016;Manual;27000;Petrol;0;67.3;1.0;A
 A3;2015;Manual;40000;Diesel;20;68.9;2.0;A
 A1;2017;Manual;63000;Diesel;145;76.3;1.6;A
 A1;2016;Manual;29000;Diesel;0;76.3;1.6;A
 A3;2016;Manual;80000;Diesel;30;67.3;2.0;A
 A3;2013;Manual;57912;Diesel;20;67.3;2.0;A
 A3;2014;Manual;119000;Diesel;20;68.9;2.0;A
 A3;2014;Manual;119000;Diesel;20;68.9;2.0;A
 A1;2013;Manual;41762;Diesel;0;74.3;1.6;A
 A1;2013;Manual;41539;Petrol;30;55.4;1.2;A
 Q5;2008;Manual;83000;Diesel;230;42.1;2.0;A
 A1;2013;Manual;67000;Petrol;30;55.4;1.2;A
 A1;2013;Manual;37060;Petrol;125;52.3;1.4;A
 A1;2014;Manual;58601;Petrol;125;52.3;1.4;A
 A4;2013;Manual;78268;Diesel;30;61.4;2.0;A
 A3;2013;Manual;58867;Petrol;125;53.3;1.4;A
 A5;2012;Automatic;70000;Diesel;125;58.9;2.0;A
 A3;2014;Manual;32379;Diesel;0;74.3;1.6;A
 A3;2015;Manual;56104;Diesel;0;74.3;1.6;A
 A3;2015;Manual;87549;Diesel;20;70.6;1.6;A
 A3;2013;Manual;53566;Diesel;20;67.3;2.0;A
 A4;2014;Automatic;96000;Diesel;150;53.3;2.0;A
 A4;2013;Automatic;70774;Diesel;125;58.9;2.0;A
 A1;2016;Manual;75869;Diesel;0;80.7;1.6;A
 A1;2016;Manual;64910;Diesel;0;76.3;1.6;A
 A3;2015;Manual;89060;Diesel;30;67.3;2.0;A
 A1;2015;Manual;69888;Diesel;0;80.7;1.6;A
 A3;2015;Manual;74209;Diesel;0;74.3;1.6;A
 A4;2014;Manual;77111;Diesel;30;65.7;2.0;A
 A3;2013;Manual;40646;Diesel;0;74.3;1.6;A
 A1;2013;Manual;47337;Diesel;0;74.3;1.6;A
 A3;2014;Manual;73722;Petrol;30;57.6;1.2;A
 A3;2016;Manual;90818;Diesel;0;83.1;1.6;A
 A1;2017;Manual;12000;Petrol;150;67.3;1.0;A
 A1;2013;Manual;43070;Petrol;125;52.3;1.4;A
 A3;2014;Semi-Auto;70480;Diesel;20;72.4;1.6;A
 Q5;2010;Automatic;96618;Diesel;265;41.5;2.0;A
 A3;2015;Manual;86108;Diesel;20;68.9;2.0;A
 A3;2014;Manual;55000;Diesel;0;74.3;1.6;A
 A1;2016;Manual;30000;Petrol;240;39.8;2.0;A
 A3;2015;Manual;91400;Diesel;20;67.3;2.0;A
 A3;2014;Semi-Auto;87151;Diesel;30;62.8;2.0;A
 A3;2016;Manual;37123;Diesel;20;72.4;1.6;A
 Q3;2013;Manual;67727;Diesel;145;54.3;2.0;A
 A6;2006;Automatic;98000;Petrol;570;21.1;5.2;A
 A1;2015;Manual;57397;Diesel;0;80.7;1.6;A
 A3;2014;Semi-Auto;78699;Diesel;20;72.4;1.6;A
 A5;2012;Manual;78807;Diesel;30;61.4;2.0;A
 A4;2014;Manual;104290;Diesel;125;60.1;2.0;A
 A4;2015;Automatic;104550;Diesel;145;56.5;2.0;A
 A3;2013;Manual;55856;Diesel;0;74.3;1.6;A
 A1;2015;Manual;60585;Diesel;0;80.7;1.6;A
 A4;2011;Manual;65349;Diesel;30;61.4;2.0;A
 A1;2015;Manual;74805;Petrol;30;55.4;1.4;A
 A1;2013;Manual;32365;Petrol;125;53.3;1.4;A
 A3;2014;Manual;50262;Diesel;0;74.3;1.6;A
 A3;2013;Manual;62090;Diesel;20;67.3;2.0;A
 A1;2012;Manual;43500;Petrol;30;55.4;1.2;A
 Q3;2013;Manual;90020;Diesel;160;49.6;2.0;A
 A1;2014;Manual;35768;Petrol;125;52.3;1.4;A
 A3;2015;Manual;62710;Diesel;0;74.3;1.6;A
 A1;2014;Manual;47050;Petrol;125;53.3;1.4;A
 A6;2011;Automatic;116000;Diesel;200;47.1;3.0;A
 A3;2012;Semi-Auto;56000;Petrol;125;50.4;1.8;A
 A3;2013;Manual;65140;Diesel;20;67.3;2.0;A
 Q3;2013;Manual;77120;Diesel;150;54.3;2.0;A
 A5;2012;Manual;70000;Diesel;125;60.1;2.0;A
 A5;2012;Automatic;95437;Diesel;125;58.9;2.0;A
 A3;2013;Semi-Auto;75142;Petrol;30;57.6;1.4;A
 A1;2013;Manual;70000;Diesel;0;74.3;1.6;A
 A3;2015;Manual;42000;Diesel;20;68.9;2.0;A
 A1;2016;Manual;24000;Petrol;30;57.6;1.4;A
 A3;2015;Manual;49000;Diesel;0;83.1;1.6;A
 A1;2015;Manual;40011;Diesel;0;80.7;1.6;A
 TT;2012;Manual;66896;Petrol;165;44.1;1.8;A
 A4;2013;Manual;83000;Diesel;30;62.8;2.0;A
 A5;2012;Automatic;94000;Petrol;200;40.4;2.0;A
 A3;2013;Manual;85255;Diesel;0;74.3;1.6;A
 A3;2013;Manual;73295;Diesel;20;67.3;2.0;A
 Q3;2013;Manual;73441;Diesel;150;54.3;2.0;A
 A1;2013;Manual;68000;Diesel;0;74.3;1.6;A
 A1;2013;Manual;39761;Petrol;125;53.3;1.4;A
 A1;2015;Manual;50982;Petrol;0;67.3;1.0;A
 A6;2004;Automatic;100730;Petrol;325;19.3;4.2;A
 A6;2010;Automatic;69000;Petrol;260;36.2;2.0;A
 Q5;2009;Automatic;95000;Diesel;290;37.6;3.0;A
 Q7;2009;Automatic;136000;Diesel;540;31.0;3.0;A
 A4;2013;Automatic;95040;Diesel;125;58.9;2.0;A
 A4;2013;Manual;63000;Diesel;30;65.7;2.0;A
 A1;2014;Manual;48330;Petrol;125;52.3;1.4;A
 A1;2013;Manual;53529;Petrol;125;52.3;1.4;A
 A4;2015;Manual;85782;Diesel;30;64.2;2.0;A
 A1;2013;Semi-Auto;49447;Petrol;125;53.3;1.4;A
 A1;2014;Manual;40000;Petrol;125;53.3;1.4;A
 A1;2013;Manual;33109;Petrol;30;55.4;1.2;A
 A1;2012;Manual;40572;Petrol;125;53.3;1.4;A
 A1;2015;Manual;41183;Petrol;0;67.3;1.0;A
 A1;2014;Manual;71836;Petrol;30;57.6;1.4;A
 A5;2014;Automatic;83587;Diesel;145;53.3;2.0;A
 A1;2012;Manual;44775;Petrol;125;52.3;1.4;A
 A3;2015;Manual;83764;Diesel;20;68.9;2.0;A
 A1;2015;Manual;54566;Diesel;0;80.7;1.6;A
 A3;2015;Manual;61220;Diesel;0;83.1;1.6;A
 A4;2013;Automatic;59438;Diesel;125;58.9;2.0;A
 A1;2013;Manual;49826;Petrol;30;55.4;1.2;A
 Q3;2013;Manual;108220;Diesel;150;54.3;2.0;A
 A4;2014;Manual;77590;Diesel;30;64.2;2.0;A
 A1;2016;Manual;37539;Diesel;0;76.3;1.6;A
 A4;2013;Manual;58024;Diesel;30;61.4;2.0;A
 A1;2012;Automatic;56767;Petrol;125;53.3;1.4;A
 TT;2011;Automatic;75309;Petrol;200;39.8;2.0;A
 A1;2016;Manual;26584;Petrol;0;67.3;1.0;A
 A3;2013;Manual;103000;Diesel;20;67.3;2.0;A
 A3;2013;Manual;103000;Diesel;20;67.3;2.0;A
 A4;2014;Manual;60667;Diesel;30;65.7;2.0;A
 A1;2015;Manual;52319;Diesel;0;80.7;1.6;A
 A6;2012;Manual;81088;Diesel;145;56.5;2.0;A
 A1;2014;Manual;53900;Petrol;20;60.1;1.4;A
 A3;2015;Manual;63769;Diesel;20;68.9;2.0;A
 A1;2013;Automatic;57309;Petrol;125;53.3;1.4;A
 A1;2015;Manual;31064;Petrol;0;67.3;1.0;A
 A4;2015;Manual;84638;Diesel;20;67.3;2.0;A
 A1;2016;Manual;65436;Diesel;0;76.3;1.6;A
 TT;2013;Manual;67691;Diesel;145;53.3;2.0;A
 A1;2016;Manual;61306;Diesel;0;80.7;1.6;A
 Q3;2013;Manual;88445;Diesel;165;49.6;2.0;A
 A1;2013;Manual;43157;Diesel;0;74.3;1.6;A
 A3;2015;Semi-Auto;43131;Diesel;20;72.4;1.6;A
 A3;2014;Manual;52561;Diesel;20;68.9;2.0;A
 Q3;2012;Manual;94547;Petrol;235;38.7;2.0;A
 A1;2014;Manual;42869;Petrol;30;55.4;1.2;A
 A1;2013;Manual;29382;Petrol;125;53.3;1.4;A
 A1;2015;Manual;43440;Diesel;0;80.7;1.6;A
 A4;2013;Manual;72011;Diesel;30;64.2;2.0;A
 A3;2015;Manual;76623;Diesel;0;83.1;1.6;A
 A3;2015;Manual;78011;Diesel;20;68.9;2.0;A
 Q5;2010;Manual;77295;Diesel;235;43.5;2.0;A
 A3;2014;Manual;46302;Petrol;30;57.6;1.2;A
 TT;2013;Manual;78449;Diesel;160;51.4;2.0;A
 A3;2013;Manual;63986;Diesel;0;74.3;1.6;A
 A1;2013;Manual;37502;Petrol;125;53.3;1.4;A
 A1;2015;Manual;36796;Petrol;0;67.3;1.0;A
 A3;2015;Manual;56726;Diesel;20;68.9;2.0;A
 A4;2013;Automatic;50765;Diesel;125;58.9;2.0;A
 TT;2009;Manual;44000;Diesel;145;53.3;2.0;A
 A1;2014;Manual;36478;Petrol;125;52.3;1.4;A
 A4;2015;Manual;90000;Diesel;0;74.3;2.0;A
 A3;2015;Manual;73567;Diesel;0;83.1;1.6;A
 A3;2014;Manual;48000;Diesel;0;74.3;1.6;A
 A4;2010;Manual;113000;Diesel;135;53.3;2.0;A
 TT;2013;Manual;37856;Petrol;205;43.5;1.8;A
 A1;2015;Manual;52200;Petrol;30;57.6;1.4;A
 A1;2015;Manual;51445;Diesel;0;80.7;1.6;A
 A4;2012;Manual;77500;Diesel;205;46.3;2.0;A
 A6;2012;Automatic;84765;Diesel;145;56.5;2.0;A
 A4;2013;Manual;48261;Diesel;30;64.2;2.0;A
 A4;2015;Manual;80973;Diesel;20;68.9;2.0;A
 A4;2013;Manual;39998;Diesel;30;65.7;2.0;A
 A3;2015;Manual;66000;Diesel;20;68.9;2.0;A
 A1;2015;Manual;32637;Diesel;0;80.7;1.6;A
 TT;2013;Manual;55159;Diesel;160;51.4;2.0;A
 A1;2016;Manual;38673;Diesel;0;76.3;1.6;A
 A4;2011;Automatic;56000;Diesel;220;42.8;3.0;A
 A3;2015;Manual;69431;Diesel;0;74.3;1.6;A
 A1;2015;Manual;62500;Diesel;0;80.7;1.6;A
 A1;2015;Manual;31478;Diesel;0;80.7;1.6;A
 A5;2013;Manual;111873;Diesel;30;61.4;2.0;A
 A5;2012;Manual;60000;Diesel;125;57.6;2.0;A
 A1;2013;Manual;33013;Petrol;125;53.3;1.4;A
 A1;2013;Manual;18894;Petrol;30;55.4;1.2;A
 A3;2014;Manual;51390;Petrol;125;53.3;1.4;A
 A1;2016;Manual;41445;Petrol;0;67.3;1.0;A
 A1;2015;Manual;35000;Petrol;30;56.5;1.4;A
 A3;2016;Manual;48887;Diesel;20;70.6;1.6;A
 A4;2014;Manual;80909;Diesel;125;58.9;2.0;A
 A4;2014;Manual;105100;Diesel;30;62.8;2.0;A
 A5;2010;Manual;76000;Petrol;235;38.7;2.0;A
