Company;TypeName;Inches;Cpu;Ram;Memory;Gpu;OpSys;Weight;Price_euros
HP;Notebook;15.6;AMD A6-Series 9220 2.5GHz;4GB;256GB SSD;AMD Radeon R4 Graphics;Windows 10;1.86kg;398.49
HP;Notebook;13.3;Intel Core i7 8550U 1.8GHz;8GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.49kg;1103.00
Acer;Notebook;15.6;Intel Core i3 7100U 2.4GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.4kg;384.00
Dell;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon 520;Windows 10;2.13kg;767.80
HP;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;1.91kg;439.00
Asus;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;2kg;586.19
MSI;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  2TB HDD;Nvidia GeForce GTX 1070;Windows 10;2.43kg;2449.00
Asus;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;256GB SSD;Intel HD Graphics 520;Linux;2kg;415.00
Dell;Notebook;17.3;Intel Core i7 8550U 1.8GHz;16GB;256GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.8kg;1299.00
Dell;Ultrabook;14;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.7kg;879.00
Lenovo;Notebook;14;Intel Core i3 7130U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;No OS;1.7kg;599.00
Asus;Notebook;14;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.4kg;941.00
HP;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.86kg;690.00
Asus;Ultrabook;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1050 Ti;Windows 10;1.8kg;1983.00
HP;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;500GB HDD;AMD Radeon 520;Windows 10;1.86kg;438.69
HP;Notebook;14;Intel Celeron Dual Core N3060 1.6GHz;4GB;32GB SSD;Intel HD Graphics 400;Windows 10;1.44kg;229.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;1.9kg;549.00
Asus;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;12GB;1TB HDD;Nvidia GeForce GTX 1050 Ti;Linux;3kg;949.00
Microsoft;Ultrabook;13.5;Intel Core i5 7200U 2.5GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10 S;1.252kg;1089.00
Dell;Ultrabook;13.3;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon 530;Windows 10;1.4kg;955.00
Dell;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon 530;Windows 10;2.2kg;870.00
MSI;Gaming;17.3;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.7kg;1095.00
Acer;Notebook;14;Intel Core i3 6006U 2GHz;8GB;1TB HDD;Intel HD Graphics 520;Windows 10;2.1kg;389.00
Asus;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.2kg;949.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;2TB HDD;Intel HD Graphics 620;No OS;2.2kg;519.00
Dell;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;128GB SSD +  1TB HDD;Intel UHD Graphics 620;Windows 10;2.02kg;855.00
Acer;Notebook;15.6;Intel Core i3 7130U 2.7GHz;4GB;1TB HDD;Nvidia GeForce MX130;Windows 10;2.2kg;530.00
HP;Notebook;17.3;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce 930MX;Windows 10;2.5kg;977.00
Dell;Ultrabook;15.6;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.88kg;1096.16
Apple;Ultrabook;12;Intel Core i5 1.3GHz;8GB;512GB SSD;Intel HD Graphics 615;macOS;0.92kg;1510.00
HP;Notebook;14;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.63kg;860.00
Lenovo;Notebook;15.6;AMD A6-Series 9220 2.5GHz;4GB;128GB SSD;AMD R4 Graphics;Windows 10;2.2kg;399.00
Acer;Notebook;15.6;AMD A9-Series 9420 3GHz;4GB;1TB HDD;AMD Radeon R5;Windows 10;2.1kg;395.00
Dell;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.65kg;1349.00
HP;Ultrabook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Nvidia GeForce GTX 940MX;Windows 10;1.83kg;699.00
HP;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.96kg;598.99
Asus;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.2kg;1449.00
Dell;Ultrabook;13.3;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.21kg;1649.00
Asus;Gaming;15.6;AMD FX 9830P 3GHz;8GB;1TB HDD;AMD Radeon RX 560;Windows 10;2.45kg;699.00
Acer;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;1TB HDD;Nvidia GeForce MX150;Windows 10;2.2kg;689.00
HP;Notebook;13.3;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.49kg;1197.00
Dell;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;256GB SSD;Nvidia GeForce GTX 1060;Windows 10;2.65kg;1195.00
Asus;Ultrabook;14;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.25kg;1049.00
Acer;2 in 1 Convertible;13.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.5kg;847.00
Dell;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;AMD Radeon R5 M430;Linux;2.2kg;599.90
Dell;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;256GB SSD;AMD Radeon R5 M430;Linux;2.2kg;485.00
Asus;Notebook;15.6;Intel Core i3 7100U 2.4GHz;6GB;256GB SSD;Nvidia GeForce 920M;Windows 10;2kg;577.00
HP;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;12GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.62kg;1249.00
HP;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;AMD Radeon 530;Windows 10;1.91kg;719.00
HP;Notebook;15.6;AMD E-Series E2-9000e 1.5GHz;4GB;500GB HDD;AMD Radeon R2;Windows 10;2.1kg;349.00
Dell;Notebook;15.6;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;AMD Radeon 520;Linux;2.2kg;647.00
HP;Ultrabook;13.3;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce MX150;Windows 10;1.38kg;1119.00
Microsoft;Ultrabook;13.5;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10 S;1.252kg;1340.00
HP;Notebook;14;Intel Core i5 7200U 2.5GHz;6GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.58kg;659.00
Lenovo;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;Windows 10;1.85kg;414.90
Asus;Ultrabook;14;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.3kg;1193.00
MSI;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.2kg;1299.00
Lenovo;Notebook;14;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.58kg;1480.00
Asus;Ultrabook;15.6;Intel Core i7 8550U 1.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce MX150;Windows 10;1.5kg;1262.00
Dell;Ultrabook;13.3;Intel Core i7 7560U 2.4GHz;8GB;256GB SSD;Intel Iris Plus Graphics 640;Windows 10;1.23kg;1379.00
Lenovo;2 in 1 Convertible;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.37kg;1399.00
HP;Notebook;14;Intel Core i5 8250U 1.6GHz;4GB;500GB HDD;Intel UHD Graphics 620;Windows 10;1.63kg;722.00
Dell;Ultrabook;13.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.21kg;1629.00
HP;2 in 1 Convertible;13.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.26kg;1398.99
HP;Notebook;14;Intel Core i7 8550U 1.8GHz;8GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.63kg;1084.00
Dell;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD +  1TB HDD;Nvidia GeForce 940MX;Windows 10;2.16kg;1130.33
Asus;Notebook;17.3;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Nvidia GeForce 920MX;Windows 10;2kg;564.00
Asus;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.7kg;1118.00
Acer;Notebook;15.6;Intel Core i3 7100U 2.4GHz;6GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.1kg;479.00
MSI;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  2TB HDD;Nvidia GeForce GTX 1070;Windows 10;1.8kg;2241.50
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 940MX;No OS;2.2kg;629.00
HP;Notebook;17.3;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Nvidia GeForce 930MX ;Windows 10;2.5kg;1271.00
Acer;Notebook;15.6;AMD A9-Series 9420 3GHz;4GB;256GB SSD;AMD Radeon R5;Windows 10;2.1kg;451.00
HP;Notebook;15.6;Intel Celeron Dual Core N3060 1.6GHz;4GB;500GB HDD;Intel HD Graphics 400;No OS;1.86kg;259.00
HP;Notebook;14;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;Intel UHD Graphics 620;Windows 10;1.63kg;812.00
Asus;Notebook;14;AMD E-Series 6110 1.5GHz;4GB;64GB SSD;AMD Radeon R2;Windows 10 S;1.65kg;277.99
Dell;Notebook;17.3;Intel Core i7 8550U 1.8GHz;16GB;256GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.8kg;1396.00
HP;Notebook;17.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;2.5kg;928.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;AMD Radeon R7 M445;Windows 10;2.36kg;638.99
Dell;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;AMD Radeon R5 M430;Windows 10;2.2kg;449.00
Acer;Ultrabook;14;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.6kg;884.00
Acer;Notebook;15.6;Intel Core i3 7130U 2.7GHz;4GB;256GB SSD;Nvidia GeForce MX130;Windows 10;2.2kg;572.00
HP;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.05kg;598.00
HP;Notebook;14;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.63kg;988.00
Lenovo;Notebook;15.6;Intel Celeron Dual Core N3350 1.1GHz;4GB;1TB HDD;Intel HD Graphics 500;No OS;1.9kg;252.36
Asus;Gaming;17.3;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;3kg;938.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Nvidia GeForce 920MX;No OS;2.2kg;499.00
HP;Notebook;13.3;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.32kg;699.00
Acer;Notebook;17.3;Intel Core i3 7130U 2.7GHz;4GB;1TB HDD;Nvidia GeForce MX130;Windows 10;3kg;655.00
Lenovo;Notebook;14;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;AMD Radeon RX 550;Windows 10;1.75kg;1116.02
Lenovo;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050M;No OS;2.4kg;869.00
Toshiba;Notebook;15.6;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.1kg;602.00
HP;Notebook;15.6;AMD A6-Series 9220 2.5GHz;4GB;256GB SSD;AMD Radeon R4 Graphics;Windows 10;1.86kg;369.00
Asus;Ultrabook;14;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.25kg;1099.00
HP;Ultrabook;12.5;Intel Core M 6Y75 1.2GHz;8GB;512GB SSD;Intel HD Graphics 515;Windows 10;0.97kg;2014.00
Asus;Notebook;15.6;Intel Celeron Dual Core N3350 1.1GHz;4GB;1TB HDD;Intel HD Graphics 500;Windows 10;2kg;344.00
MSI;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2.9kg;2029.00
Acer;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;Windows 10;2.1kg;447.00
Dell;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.56kg;1249.26
Dell;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;1.0TB Hybrid;Nvidia GeForce GTX 1050;Windows 10;2.62kg;899.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.9kg;498.00
MSI;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.8kg;1890.00
HP;Ultrabook;14;Intel Core i5 7500U 2.7GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.48kg;1082.00
HP;Notebook;15.6;Intel Core i5 8250U 1.6GHz;6GB;256GB SSD;AMD Radeon 520;Windows 10;1.91kg;619.00
Lenovo;2 in 1 Convertible;14;Intel Core i3 7100U 2.4GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.74kg;629.00
Asus;2 in 1 Convertible;13.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.1kg;1315.00
Dell;2 in 1 Convertible;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.56kg;1049.00
Toshiba;Notebook;15.6;Intel Core i3 6006U 2.2GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.1kg;447.00
Asus;Notebook;15.6;AMD A9-Series 9420 3GHz;4GB;1TB HDD;AMD Radeon R5 M420;Windows 10;2.03kg;403.00
Acer;Notebook;17.3;Intel Core i5 8250U 1.6GHz;4GB;256GB SSD;Nvidia GeForce MX150;Windows 10;3kg;805.00
Dell;Notebook;15.6;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;AMD Radeon 520;Windows 10;2.13kg;728.00
Lenovo;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.5kg;1079.00
Acer;Notebook;15.6;Intel Celeron Dual Core N3350 1.1GHz;4GB;1TB HDD;Intel HD Graphics 500;Windows 10;2.1kg;348.00
MSI;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.4kg;1799.00
Acer;Notebook;15.6;Intel Pentium Quad Core N4200 1.1GHz;4GB;1TB HDD;Intel HD Graphics 505;Windows 10;2.1kg;363.51
Dell;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.56kg;1060.49
Acer;Notebook;17.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Nvidia GeForce MX150;Windows 10;3kg;854.00
HP;Notebook;13.3;Intel Core i5 8250U 1.6GHz;4GB;500GB HDD;Intel UHD Graphics 620;Windows 10;1.49kg;754.00
Huawei;Ultrabook;13;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.05kg;1349.00
HP;Notebook;17.3;Intel Core i5 7200U 2.5GHz;6GB;2TB HDD;AMD Radeon 520;Windows 10;2.71kg;699.00
Lenovo;Notebook;15.6;AMD A6-Series 9220 2.9GHz;4GB;500GB HDD;AMD Radeon R4 Graphics;No OS;2.2kg;309.00
Toshiba;Notebook;15.6;Intel Core i3 7100U 2.4GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;2kg;489.00
HP;Notebook;17.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Windows 10;2.5kg;923.00
Dell;Notebook;15.6;Intel Core i3 7100U 2.4GHz;8GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.3kg;459.00
Acer;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;2.1kg;449.00
MSI;Gaming;18.4;Intel Core i7 6920HQ 2.9GHz;32GB;512GB SSD +  1TB HDD;Nvidia GTX 980 SLI;Windows 10;4.4kg;2799.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;128GB SSD +  1TB HDD;AMD R17M-M1-70;Windows 10;1.90kg;813.00
HP;2 in 1 Convertible;13.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.29kg;1499.00
Dell;Notebook;15.6;Intel Core i7 8550U 1.8GHz;16GB;256GB SSD +  2TB HDD;AMD Radeon 530;Linux;2.02kg;1049.00
Dell;Ultrabook;13.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.23kg;1399.00
Lenovo;2 in 1 Convertible;13.9;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.4kg;1849.00
Toshiba;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;128GB SSD;Intel HD Graphics 620;Windows 10;2.0kg;793.00
Xiaomi;Notebook;15.6;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Nvidia GeForce MX150;No OS;1.95kg;1199.00
Dell;Notebook;17.3;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Nvidia GeForce 150MX;Windows 10;2.77kg;1549.00
Dell;Notebook;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.06kg;2397.00
Lenovo;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;No OS;2.4kg;779.00
